文件相对路径,經文資訊
cbeta-text\J\JB392\JB392_019.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B392 寒松操禪師語錄
cbeta-text\J\JB392\JB392_020.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B392 寒松操禪師語錄
cbeta-text\J\JB393\JB393_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B393 華巖還初佛禪師語錄
cbeta-text\J\JB393\JB393_002.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B393 華巖還初佛禪師語錄
cbeta-text\J\JB394\JB394_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB394\JB394_002.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB394\JB394_003.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB394\JB394_004.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB394\JB394_005.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB394\JB394_006.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB394\JB394_007.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB394\JB394_008.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B394 翼菴禪師語錄
cbeta-text\J\JB395\JB395_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B395 荊南內護國寺啟真誠禪師語錄
cbeta-text\J\JB395\JB395_002.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B395 荊南內護國寺啟真誠禪師語錄
cbeta-text\J\JB395\JB395_003.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B395 荊南內護國寺啟真誠禪師語錄
cbeta-text\J\JB395\JB395_004.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B395 荊南內護國寺啟真誠禪師語錄
cbeta-text\J\JB396\JB396_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B396 終南山蟠龍子肅禪師語錄
cbeta-text\J\JB399\JB399_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B399 鶴林天樹植禪師語錄
cbeta-text\J\JB400\JB400_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B400 知空蘊禪師語錄
cbeta-text\J\JB400\JB400_002.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B400 知空蘊禪師語錄
cbeta-text\J\JB401\JB401_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B401 浦峰長明炅禪師語錄
cbeta-text\J\JB402\JB402_001.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B402 浦峰法柱棟禪師語錄
cbeta-text\J\JB402\JB402_002.txt,嘉興大藏經（新文豐版） 第 37 冊 No. B402 浦峰法柱棟禪師語錄
cbeta-text\J\JB406\JB406_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_007.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_008.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_009.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_010.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_011.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB406\JB406_012.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B406 廬山天然禪師語錄
cbeta-text\J\JB407\JB407_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B407 千山剩人禪師語錄
cbeta-text\J\JB407\JB407_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B407 千山剩人禪師語錄
cbeta-text\J\JB407\JB407_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B407 千山剩人禪師語錄
cbeta-text\J\JB407\JB407_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B407 千山剩人禪師語錄
cbeta-text\J\JB407\JB407_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B407 千山剩人禪師語錄
cbeta-text\J\JB407\JB407_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B407 千山剩人禪師語錄
cbeta-text\J\JB408\JB408_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B408 海幢阿字無禪師語錄
cbeta-text\J\JB408\JB408_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B408 海幢阿字無禪師語錄
cbeta-text\J\JB409\JB409_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B409 丹霞澹歸禪師語錄
cbeta-text\J\JB409\JB409_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B409 丹霞澹歸禪師語錄
cbeta-text\J\JB409\JB409_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B409 丹霞澹歸禪師語錄
cbeta-text\J\JB410\JB410_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_007.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_008.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_009.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB410\JB410_010.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B410 蓮峰禪師語錄
cbeta-text\J\JB411\JB411_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B411 德風禪師般若語錄
cbeta-text\J\JB411\JB411_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B411 德風禪師般若語錄
cbeta-text\J\JB411\JB411_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B411 德風禪師般若語錄
cbeta-text\J\JB411\JB411_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B411 德風禪師般若語錄
cbeta-text\J\JB411\JB411_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B411 德風禪師般若語錄
cbeta-text\J\JB411\JB411_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B411 德風禪師般若語錄
cbeta-text\J\JB412\JB412_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B412 三塔主峰禪師語錄
cbeta-text\J\JB413\JB413_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B413 黃蓮東巖禪師語錄
cbeta-text\J\JB414\JB414_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B414 山鐸真在禪師語錄
cbeta-text\J\JB415\JB415_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B415 大悲妙雲禪師語錄
cbeta-text\J\JB415\JB415_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B415 大悲妙雲禪師語錄
cbeta-text\J\JB415\JB415_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B415 大悲妙雲禪師語錄
cbeta-text\J\JB415\JB415_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B415 大悲妙雲禪師語錄
cbeta-text\J\JB415\JB415_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B415 大悲妙雲禪師語錄
cbeta-text\J\JB415\JB415_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B415 大悲妙雲禪師語錄
cbeta-text\J\JB416\JB416_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B416 調實居士證源錄
cbeta-text\J\JB417\JB417_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B417 天則能禪師語錄
cbeta-text\J\JB418\JB418_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB418\JB418_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB418\JB418_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB418\JB418_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB418\JB418_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB418\JB418_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB418\JB418_007.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB418\JB418_008.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B418 晦嶽旭禪師語錄
cbeta-text\J\JB419\JB419_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B419 華嚴不厭樂禪師語錄
cbeta-text\J\JB419\JB419_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B419 華嚴不厭樂禪師語錄
cbeta-text\J\JB419\JB419_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B419 華嚴不厭樂禪師語錄
cbeta-text\J\JB420\JB420_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B420 三峰半水元禪師語錄
cbeta-text\J\JB421\JB421_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B421 鶴峰禪師語錄
cbeta-text\J\JB421\JB421_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B421 鶴峰禪師語錄
cbeta-text\J\JB422\JB422_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B422 林我禪師語錄
cbeta-text\J\JB422\JB422_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B422 林我禪師語錄
cbeta-text\J\JB422\JB422_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B422 林我禪師語錄
cbeta-text\J\JB422\JB422_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B422 林我禪師語錄
cbeta-text\J\JB423\JB423_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B423 石關禪師語錄
cbeta-text\J\JB424\JB424_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B424 香嚴禪師語錄
cbeta-text\J\JB425\JB425_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_007.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_008.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_009.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_010.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_011.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_012.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_013.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_014.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_015.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_016.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_017.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_018.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_019.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_020.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_021.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_022.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_023.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_024.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB425\JB425_025.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B425 即非禪師全錄
cbeta-text\J\JB427\JB427_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B427 青城竹浪生禪師語錄
cbeta-text\J\JB427\JB427_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B427 青城竹浪生禪師語錄
cbeta-text\J\JB427\JB427_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B427 青城竹浪生禪師語錄
cbeta-text\J\JB427\JB427_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B427 青城竹浪生禪師語錄
cbeta-text\J\JB427\JB427_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B427 青城竹浪生禪師語錄
cbeta-text\J\JB427\JB427_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B427 青城竹浪生禪師語錄
cbeta-text\J\JB427\JB427_007.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B427 青城竹浪生禪師語錄
cbeta-text\J\JB428\JB428_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B428 密行忍禪師語錄
cbeta-text\J\JB428\JB428_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B428 密行忍禪師語錄
cbeta-text\J\JB428\JB428_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B428 密行忍禪師語錄
cbeta-text\J\JB429\JB429_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B429 盛京奉天般若古林禪師語錄
cbeta-text\J\JB429\JB429_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B429 盛京奉天般若古林禪師語錄
cbeta-text\J\JB429\JB429_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B429 盛京奉天般若古林禪師語錄
cbeta-text\J\JB429\JB429_004.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B429 盛京奉天般若古林禪師語錄
cbeta-text\J\JB429\JB429_005.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B429 盛京奉天般若古林禪師語錄
cbeta-text\J\JB429\JB429_006.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B429 盛京奉天般若古林禪師語錄
cbeta-text\J\JB430\JB430_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B430 玉泉其白富禪師語錄
cbeta-text\J\JB430\JB430_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B430 玉泉其白富禪師語錄
cbeta-text\J\JB430\JB430_003.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B430 玉泉其白富禪師語錄
cbeta-text\J\JB431\JB431_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B431 雲峰體宗寧禪師語錄
cbeta-text\J\JB432\JB432_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B432 幻住明禪師語錄
cbeta-text\J\JB432\JB432_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B432 幻住明禪師語錄
cbeta-text\J\JB433\JB433_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B433 純備德禪師語錄
cbeta-text\J\JB433\JB433_002.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B433 純備德禪師語錄
cbeta-text\J\JB434\JB434_001.txt,嘉興大藏經（新文豐版） 第 38 冊 No. B434 法幢遠禪師語錄
cbeta-text\J\JB435\JB435_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B435 伏獅義公禪師語錄
cbeta-text\J\JB436\JB436_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B436 參同一揆禪師語錄
cbeta-text\J\JB438\JB438_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B438 衡山禪師語錄
cbeta-text\J\JB439\JB439_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B439 高峰三山來禪師疏語
cbeta-text\J\JB439\JB439_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B439 高峰三山來禪師疏語
cbeta-text\J\JB439\JB439_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B439 高峰三山來禪師疏語
cbeta-text\J\JB440\JB440_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B440 高峰喬松億禪師語錄
cbeta-text\J\JB440\JB440_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B440 高峰喬松億禪師語錄
cbeta-text\J\JB441\JB441_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B441 萬峰童真禪師語錄
cbeta-text\J\JB441\JB441_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B441 萬峰童真禪師語錄
cbeta-text\J\JB441\JB441_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B441 萬峰童真禪師語錄
cbeta-text\J\JB441\JB441_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B441 萬峰童真禪師語錄
cbeta-text\J\JB441\JB441_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B441 萬峰童真禪師語錄
cbeta-text\J\JB441\JB441_006.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B441 萬峰童真禪師語錄
cbeta-text\J\JB442\JB442_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B442 大笑崇禪師語錄
cbeta-text\J\JB442\JB442_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B442 大笑崇禪師語錄
cbeta-text\J\JB442\JB442_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B442 大笑崇禪師語錄
cbeta-text\J\JB443\JB443_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B443 玉眉亮禪師語錄
cbeta-text\J\JB444\JB444_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B444 卓峰玨禪師語錄
cbeta-text\J\JB445\JB445_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B445 別菴禪師同門錄
cbeta-text\J\JB445\JB445_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B445 別菴禪師同門錄
cbeta-text\J\JB445\JB445_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B445 別菴禪師同門錄
cbeta-text\J\JB446\JB446_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B446 靈隱文禪師語錄
cbeta-text\J\JB446\JB446_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B446 靈隱文禪師語錄
cbeta-text\J\JB446\JB446_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B446 靈隱文禪師語錄
cbeta-text\J\JB447\JB447_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_006.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_007.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_008.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_009.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB447\JB447_010.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B447 東山梅溪度禪師語錄
cbeta-text\J\JB448\JB448_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B448 靈機禪師語錄
cbeta-text\J\JB448\JB448_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B448 靈機禪師語錄
cbeta-text\J\JB448\JB448_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B448 靈機禪師語錄
cbeta-text\J\JB448\JB448_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B448 靈機禪師語錄
cbeta-text\J\JB448\JB448_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B448 靈機禪師語錄
cbeta-text\J\JB448\JB448_006.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B448 靈機禪師語錄
cbeta-text\J\JB449\JB449_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B449 祖亮啟禪師語錄
cbeta-text\J\JB449\JB449_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B449 祖亮啟禪師語錄
cbeta-text\J\JB450\JB450_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_006.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_007.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_008.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_009.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB450\JB450_010.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B450 敏樹禪師語錄
cbeta-text\J\JB451\JB451_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B451 赤松領禪師語錄
cbeta-text\J\JB451\JB451_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B451 赤松領禪師語錄
cbeta-text\J\JB451\JB451_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B451 赤松領禪師語錄
cbeta-text\J\JB451\JB451_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B451 赤松領禪師語錄
cbeta-text\J\JB451\JB451_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B451 赤松領禪師語錄
cbeta-text\J\JB452\JB452_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B452 侶巖荷禪師語錄
cbeta-text\J\JB452\JB452_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B452 侶巖荷禪師語錄
cbeta-text\J\JB452\JB452_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B452 侶巖荷禪師語錄
cbeta-text\J\JB452\JB452_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B452 侶巖荷禪師語錄
cbeta-text\J\JB452\JB452_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B452 侶巖荷禪師語錄
cbeta-text\J\JB452\JB452_006.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B452 侶巖荷禪師語錄
cbeta-text\J\JB452\JB452_007.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B452 侶巖荷禪師語錄
cbeta-text\J\JB453\JB453_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_006.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_007.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_008.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_009.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB453\JB453_010.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B453 元潔瑩禪師語錄
cbeta-text\J\JB454\JB454_001.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B454 頻吉祥禪師語錄
cbeta-text\J\JB454\JB454_002.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B454 頻吉祥禪師語錄
cbeta-text\J\JB454\JB454_003.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B454 頻吉祥禪師語錄
cbeta-text\J\JB454\JB454_004.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B454 頻吉祥禪師語錄
cbeta-text\J\JB454\JB454_005.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B454 頻吉祥禪師語錄
cbeta-text\J\JB454\JB454_006.txt,嘉興大藏經（新文豐版） 第 39 冊 No. B454 頻吉祥禪師語錄
